city,lat,lon,month,year,rain,temp,humidity
Berlin,52.52,13.405,1,2023,178.04,5.9,73
Berlin,52.52,13.405,2,2023,57.48,2.6,82
Berlin,52.52,13.405,3,2023,73.56,2.4,63
Berlin,52.52,13.405,4,2023,11.62,8.7,75
Berlin,52.52,13.405,5,2023,22.3,12.2,97
Berlin,52.52,13.405,6,2023,103.17,28.2,45
Berlin,52.52,13.405,7,2023,53.52,-0.2,48
Berlin,52.52,13.405,8,2023,167.1,24.4,31
Berlin,52.52,13.405,9,2023,2.94,16.3,39
Berlin,52.52,13.405,10,2023,75.82,6.5,79
Berlin,52.52,13.405,11,2023,67.47,14.7,41
Berlin,52.52,13.405,12,2023,3.87,7.0,99
