city,lat,lon,month,year,rain,temp,humidity
Berlin,52.52,13.405,1,2020,190.15,12.7,94
Berlin,52.52,13.405,2,2020,140.51,5.4,60
Berlin,52.52,13.405,3,2020,59.61,8.7,59
Berlin,52.52,13.405,4,2020,21.07,28.4,47
Berlin,52.52,13.405,5,2020,156.36,32.4,46
Berlin,52.52,13.405,6,2020,128.83,2.4,67
Berlin,52.52,13.405,7,2020,9.64,9.9,43
Berlin,52.52,13.405,8,2020,72.01,32.1,85
Berlin,52.52,13.405,9,2020,191.36,-2.5,51
Berlin,52.52,13.405,10,2020,100.08,-1.3,96
Berlin,52.52,13.405,11,2020,86.55,1.5,85
Berlin,52.52,13.405,12,2020,91.54,18.8,48
