city,lat,lon,month,year,Rainfall (mm),temp,humidity
Stuttgart,48.7758,9.1829,1,2022,38.77,3.4,69
Stuttgart,48.7758,9.1829,2,2022,171.76,-2.7,67
Stuttgart,48.7758,9.1829,3,2022,135.39,17.1,72
Stuttgart,48.7758,9.1829,4,2022,167.58,18.8,92
Stuttgart,48.7758,9.1829,5,2022,171.75,29.9,48
Stuttgart,48.7758,9.1829,6,2022,149.67,18.1,79
Stuttgart,48.7758,9.1829,7,2022,87.84,8.8,62
Stuttgart,48.7758,9.1829,8,2022,122.11,27.1,42
Stuttgart,48.7758,9.1829,9,2022,32.07,16.6,91
Stuttgart,48.7758,9.1829,10,2022,134.73,-1.8,72
Stuttgart,48.7758,9.1829,11,2022,35.85,17.6,78
Stuttgart,48.7758,9.1829,12,2022,138.79,31.3,65
