city,lat,lon,month,year,Rainfall (mm),temp,humidity
Stuttgart,48.7758,9.1829,1,2020,162.83,9.2,95
Stuttgart,48.7758,9.1829,2,2020,137.03,11.0,98
Stuttgart,48.7758,9.1829,3,2020,22.09,-0.4,84
Stuttgart,48.7758,9.1829,4,2020,57.84,30.3,39
Stuttgart,48.7758,9.1829,5,2020,61.96,11.6,71
Stuttgart,48.7758,9.1829,6,2020,49.99,10.5,70
Stuttgart,48.7758,9.1829,7,2020,103.0,21.4,98
Stuttgart,48.7758,9.1829,8,2020,107.11,12.7,39
Stuttgart,48.7758,9.1829,9,2020,71.38,20.9,39
Stuttgart,48.7758,9.1829,10,2020,70.76,-2.5,89
Stuttgart,48.7758,9.1829,11,2020,165.71,27.5,80
Stuttgart,48.7758,9.1829,12,2020,157.86,32.6,50
