city,lat,lon,month,year,Rainfall (mm),temp,humidity
Dresden,51.0504,13.7373,1,2020,180.19,21.8,35
Dresden,51.0504,13.7373,2,2020,199.23,14.4,46
Dresden,51.0504,13.7373,3,2020,165.08,11.7,65
Dresden,51.0504,13.7373,4,2020,168.97,9.3,31
Dresden,51.0504,13.7373,5,2020,49.8,18.8,81
Dresden,51.0504,13.7373,6,2020,115.34,18.0,95
Dresden,51.0504,13.7373,7,2020,13.45,1.5,81
Dresden,51.0504,13.7373,8,2020,18.98,13.9,72
Dresden,51.0504,13.7373,9,2020,199.78,17.1,51
Dresden,51.0504,13.7373,10,2020,65.33,17.8,84
Dresden,51.0504,13.7373,11,2020,149.64,3.4,96
Dresden,51.0504,13.7373,12,2020,161.33,24.7,89
