city,lat,lon,month,year,Rainfall (mm),temp,humidity
Dresden,51.0504,13.7373,1,2023,116.19,2.0,70
Dresden,51.0504,13.7373,2,2023,198.14,13.9,92
Dresden,51.0504,13.7373,3,2023,151.35,-1.3,61
Dresden,51.0504,13.7373,4,2023,88.46,20.0,49
Dresden,51.0504,13.7373,5,2023,141.48,17.0,86
Dresden,51.0504,13.7373,6,2023,77.85,11.3,79
Dresden,51.0504,13.7373,7,2023,45.78,15.9,54
Dresden,51.0504,13.7373,8,2023,119.37,30.9,41
Dresden,51.0504,13.7373,9,2023,185.64,2.9,68
Dresden,51.0504,13.7373,10,2023,185.83,-4.1,46
Dresden,51.0504,13.7373,11,2023,68.38,29.5,74
Dresden,51.0504,13.7373,12,2023,105.54,18.1,40
