city,timestamp,temp,pressure,humidity
Ottawa,2024-05-16 04:45:00,12.0,1011.0,71
Ottawa,2024-05-16 10:00:00,16.0,1013.0,63
Ottawa,2024-05-17 12:00:00,20.0,1014.0,78
Ottawa,2024-05-18 10:30:00,18.0,1016.0,88
Ottawa,2024-05-19 10:00:00,18.0,1017.0,77
Ottawa,2024-05-20 10:45:00,23.0,1015.0,69
Ottawa,2024-05-21 10:45:00,20.0,1011.0,78
Ottawa,2024-05-22 10:15:00,20.0,1010.0,100
Ottawa,2024-05-23 10:00:00,19.0,1010.0,68
Ottawa,2024-05-24 10:30:00,14.0,1009.0,55
Ottawa,2024-05-25 10:00:00,15.0,1013.0,59
Ottawa,2024-05-26 10:00:00,17.0,1015.0,68
Ottawa,2024-05-27 10:30:00,23.0,1003.0,69
Ottawa,2024-05-28 10:30:00,17.0,1002.0,77
Ottawa,2024-05-29 10:00:00,11.0,1016.0,71
Ottawa,2024-05-30 09:45:00,13.0,1020.0,54
Ottawa,2024-05-31 10:15:00,20.0,1021.0,37
Ottawa,2024-06-01 10:15:00,21.0,1021.0,49
Ottawa,2024-06-02 10:00:00,17.0,1017.0,77
Ottawa,2024-06-03 10:15:00,24.0,1015.0,54
Ottawa,2024-06-04 10:15:00,25.0,1016.0,54
Ottawa,2024-06-05 10:15:00,24.0,1010.0,61
Ottawa,2024-06-06 10:00:00,22.0,1000.0,88
Ottawa,2024-06-07 10:00:00,18.1,999.0,88
Ottawa,2024-06-08 10:15:00,17.4,1002.0,83
Ottawa,2024-06-09 10:15:00,16.1,1000.0,77
Ottawa,2024-06-10 10:15:00,12.2,1003.0,77
Ottawa,2024-06-11 10:00:00,11.0,1015.0,82
Ottawa,2024-06-12 10:15:00,16.0,1017.0,72
Ottawa,2024-06-13 10:00:00,18.0,1011.0,73
Ottawa,2024-06-14 10:00:00,18.2,1010.0,77
Ottawa,2024-06-15 10:00:00,13.5,1021.0,50
Ottawa,2024-06-16 09:45:00,13.6,1025.0,65
Ottawa,2024-06-17 10:00:00,20.3,1016.0,81
Ottawa,2024-06-18 09:45:00,24.3,1020.0,89
Ottawa,2024-06-19 09:45:00,29.2,1023.0,70
Ottawa,2024-06-20 09:45:00,25.3,1024.0,75
Ottawa,2024-06-21 09:30:00,21.3,1025.0,64
Ottawa,2024-06-22 09:45:00,19.1,1019.0,83
Ottawa,2024-06-23 09:45:00,20.2,999.0,100
Ottawa,2024-06-24 09:45:00,16.3,1004.0,82
Ottawa,2024-06-25 09:15:00,20.2,1010.0,71
Ottawa,2024-06-26 09:30:00,20.2,1004.0,79
Ottawa,2024-06-27 09:15:00,14.1,1008.0,77
Ottawa,2024-06-28 09:15:00,17.2,1020.0,52
Ottawa,2024-06-29 08:45:00,17.1,1014.0,100
Ottawa,2024-06-30 09:30:00,23.3,1009.0,78
Ottawa,2024-07-01 09:15:00,18.3,1021.0,56
Ottawa,2024-07-02 09:15:00,22.1,1025.0,57
