city,lat,lon,month,year,Rainfall (mm),temp,humidity
Hanover,52.3759,9.732,1,2023,97.45,31.6,62
Hanover,52.3759,9.732,2,2023,86.0,28.8,77
Hanover,52.3759,9.732,3,2023,119.38,24.7,31
Hanover,52.3759,9.732,4,2023,199.91,1.7,61
Hanover,52.3759,9.732,5,2023,153.89,-0.2,33
Hanover,52.3759,9.732,6,2023,79.57,-2.3,49
Hanover,52.3759,9.732,7,2023,165.51,24.0,65
Hanover,52.3759,9.732,8,2023,34.14,32.2,61
Hanover,52.3759,9.732,9,2023,6.09,12.2,57
Hanover,52.3759,9.732,10,2023,40.89,-0.2,30
Hanover,52.3759,9.732,11,2023,68.08,15.5,89
Hanover,52.3759,9.732,12,2023,102.12,9.0,85
