city,lat,lon,month,year,Rainfall (mm),temp,humidity
Hanover,52.3759,9.732,1,2022,18.76,15.5,72
Hanover,52.3759,9.732,2,2022,97.23,7.8,98
Hanover,52.3759,9.732,3,2022,184.15,18.8,42
Hanover,52.3759,9.732,4,2022,8.01,34.8,39
Hanover,52.3759,9.732,5,2022,58.29,12.4,70
Hanover,52.3759,9.732,6,2022,41.51,31.8,79
Hanover,52.3759,9.732,7,2022,47.63,8.8,88
Hanover,52.3759,9.732,8,2022,181.69,-2.8,68
Hanover,52.3759,9.732,9,2022,93.61,3.2,32
Hanover,52.3759,9.732,10,2022,93.26,11.7,36
Hanover,52.3759,9.732,11,2022,152.12,3.8,78
Hanover,52.3759,9.732,12,2022,30.9,-5.0,55
