city,lat,lon,month,year,rain,temp,humidity
Hamburg,53.5511,9.9937,1,2021,103.34,21.5,95
Hamburg,53.5511,9.9937,2,2021,151.76,19.1,45
Hamburg,53.5511,9.9937,3,2021,56.5,1.5,63
Hamburg,53.5511,9.9937,4,2021,70.61,4.4,73
Hamburg,53.5511,9.9937,5,2021,178.82,-4.1,35
Hamburg,53.5511,9.9937,6,2021,189.29,28.4,93
Hamburg,53.5511,9.9937,7,2021,178.51,34.0,51
Hamburg,53.5511,9.9937,8,2021,83.89,0.4,47
Hamburg,53.5511,9.9937,9,2021,156.07,4.3,41
Hamburg,53.5511,9.9937,10,2021,95.27,29.7,81
Hamburg,53.5511,9.9937,11,2021,99.51,32.1,80
Hamburg,53.5511,9.9937,12,2021,40.94,11.8,77
