city,lat,lon,month,year,Rainfall (mm),temp,humidity
Hamburg,53.5511,9.9937,1,2022,118.23,-3.0,48
Hamburg,53.5511,9.9937,2,2022,37.23,-3.4,35
Hamburg,53.5511,9.9937,3,2022,66.31,18.0,56
Hamburg,53.5511,9.9937,4,2022,171.01,10.7,82
Hamburg,53.5511,9.9937,5,2022,41.42,-3.9,77
Hamburg,53.5511,9.9937,6,2022,14.23,18.3,36
Hamburg,53.5511,9.9937,7,2022,13.8,-4.5,88
Hamburg,53.5511,9.9937,8,2022,188.16,26.5,98
Hamburg,53.5511,9.9937,9,2022,101.38,7.3,40
Hamburg,53.5511,9.9937,10,2022,81.88,-3.4,44
Hamburg,53.5511,9.9937,11,2022,162.18,18.5,93
Hamburg,53.5511,9.9937,12,2022,167.17,10.9,32
