city,temp,humidity,pressure,timestamp
Ottawa,13.52,86,1022,2025-06-27T07:36:13.841908Z
Ottawa,13.52,86,1022,2025-06-27T07:48:44.058295Z
Ottawa,13.06,79,1023,2025-06-27T09:31:22.568856Z
Ottawa,13.06,79,1023,2025-06-27T09:32:40.847980Z
Ottawa,15.29,80,1023,2025-06-27T09:37:47.087119Z
Ottawa,13.64,79,1023,2025-06-27T09:43:05.567880Z
Ottawa,13.64,79,1023,2025-06-27T09:45:58.844748Z
Ottawa,13.19,79,1022,2025-06-27T10:06:57.397915Z
Ottawa,16.36,61,1023,2025-06-27T14:58:36.119823Z
Ottawa,19.06,57,1022,2025-06-27T16:24:27.297064Z
Ottawa,19.06,57,1022,2025-06-27T16:24:36.322529Z
Ottawa,18.79,56,1022,2025-06-27T16:28:02.487801Z
Ottawa,19.37,55,1022,2025-06-27T16:44:36.474855Z
Ottawa,19.37,55,1022,2025-06-27T16:44:48.957924Z
Ottawa,20.04,59,1022,2025-06-27T16:54:35.718184Z
Ottawa,20.04,59,1022,2025-06-27T16:56:05.924547Z
