city,lat,lon,month,year,rain,temp,humidity
Cologne,50.9375,6.9603,1,2022,10.33,0.0,62
Cologne,50.9375,6.9603,2,2022,100.96,34.2,31
Cologne,50.9375,6.9603,3,2022,143.69,22.0,47
Cologne,50.9375,6.9603,4,2022,172.53,28.9,76
Cologne,50.9375,6.9603,5,2022,35.85,8.0,62
Cologne,50.9375,6.9603,6,2022,160.0,22.1,64
Cologne,50.9375,6.9603,7,2022,110.54,18.8,80
Cologne,50.9375,6.9603,8,2022,79.31,19.1,47
Cologne,50.9375,6.9603,9,2022,26.34,22.3,59
Cologne,50.9375,6.9603,10,2022,173.06,18.0,73
Cologne,50.9375,6.9603,11,2022,31.45,12.2,82
Cologne,50.9375,6.9603,12,2022,61.96,6.0,39
