city,lat,lon,month,year,rain,temp,humidity
Cologne,50.9375,6.9603,1,2020,67.12,13.7,80
Cologne,50.9375,6.9603,2,2020,195.71,19.8,39
Cologne,50.9375,6.9603,3,2020,171.31,11.4,50
Cologne,50.9375,6.9603,4,2020,140.23,12.1,99
Cologne,50.9375,6.9603,5,2020,145.41,8.2,86
Cologne,50.9375,6.9603,6,2020,112.41,17.6,68
Cologne,50.9375,6.9603,7,2020,189.42,29.0,62
Cologne,50.9375,6.9603,8,2020,99.25,3.1,88
Cologne,50.9375,6.9603,9,2020,76.1,32.4,47
Cologne,50.9375,6.9603,10,2020,32.61,22.6,85
Cologne,50.9375,6.9603,11,2020,157.24,27.9,86
Cologne,50.9375,6.9603,12,2020,146.89,17.2,77
