city,lat,lon,month,year,Rainfall (mm),temp,humidity
Leipzig,51.3397,12.3731,1,2020,199.45,26.3,50
Leipzig,51.3397,12.3731,2,2020,6.01,25.6,68
Leipzig,51.3397,12.3731,3,2020,179.47,22.7,75
Leipzig,51.3397,12.3731,4,2020,124.53,33.6,95
Leipzig,51.3397,12.3731,5,2020,194.68,10.7,65
Leipzig,51.3397,12.3731,6,2020,93.0,0.2,94
Leipzig,51.3397,12.3731,7,2020,169.48,21.9,92
Leipzig,51.3397,12.3731,8,2020,12.48,24.2,64
Leipzig,51.3397,12.3731,9,2020,67.06,18.0,60
Leipzig,51.3397,12.3731,10,2020,13.4,3.3,57
Leipzig,51.3397,12.3731,11,2020,195.07,15.2,30
Leipzig,51.3397,12.3731,12,2020,163.39,7.5,54
