city,lat,lon,month,year,Rainfall (mm),temp,humidity
Leipzig,51.3397,12.3731,1,2023,134.8,7.1,45
Leipzig,51.3397,12.3731,2,2023,12.51,29.3,30
Leipzig,51.3397,12.3731,3,2023,42.1,29.3,45
Leipzig,51.3397,12.3731,4,2023,161.8,25.6,66
Leipzig,51.3397,12.3731,5,2023,29.38,0.9,32
Leipzig,51.3397,12.3731,6,2023,68.53,22.6,81
Leipzig,51.3397,12.3731,7,2023,172.93,32.8,76
Leipzig,51.3397,12.3731,8,2023,30.99,22.3,42
Leipzig,51.3397,12.3731,9,2023,16.55,8.3,84
Leipzig,51.3397,12.3731,10,2023,96.91,15.0,50
Leipzig,51.3397,12.3731,11,2023,60.48,20.8,95
Leipzig,51.3397,12.3731,12,2023,112.68,15.4,83
