city,lat,lon,month,year,Rainfall (mm),temp,humidity
Leipzig,51.3397,12.3731,1,2021,170.51,12.1,72
Leipzig,51.3397,12.3731,2,2021,187.59,20.8,96
Leipzig,51.3397,12.3731,3,2021,17.02,24.8,92
Leipzig,51.3397,12.3731,4,2021,77.12,4.3,80
Leipzig,51.3397,12.3731,5,2021,14.21,11.2,31
Leipzig,51.3397,12.3731,6,2021,42.16,5.8,93
Leipzig,51.3397,12.3731,7,2021,45.87,2.9,98
Leipzig,51.3397,12.3731,8,2021,93.82,26.3,38
Leipzig,51.3397,12.3731,9,2021,53.71,31.4,31
Leipzig,51.3397,12.3731,10,2021,20.2,9.8,63
Leipzig,51.3397,12.3731,11,2021,33.5,25.1,89
Leipzig,51.3397,12.3731,12,2021,29.46,30.9,90
