city,lat,lon,month,year,rain,temp,humidity
Dusseldorf,51.2277,6.7735,1,2022,144.55,2.4,83
Dusseldorf,51.2277,6.7735,2,2022,131.35,16.7,63
Dusseldorf,51.2277,6.7735,3,2022,141.75,20.8,65
Dusseldorf,51.2277,6.7735,4,2022,1.67,-3.2,47
Dusseldorf,51.2277,6.7735,5,2022,43.53,32.8,67
Dusseldorf,51.2277,6.7735,6,2022,132.34,28.7,88
Dusseldorf,51.2277,6.7735,7,2022,96.8,6.9,38
Dusseldorf,51.2277,6.7735,8,2022,1.06,-1.9,80
Dusseldorf,51.2277,6.7735,9,2022,160.9,1.8,64
Dusseldorf,51.2277,6.7735,10,2022,154.56,0.1,34
Dusseldorf,51.2277,6.7735,11,2022,109.68,-0.1,43
Dusseldorf,51.2277,6.7735,12,2022,13.29,15.7,59
