city,lat,lon,month,year,Rainfall (mm),temp,humidity
Dusseldorf,51.2277,6.7735,1,2020,77.57,-1.8,61
Dusseldorf,51.2277,6.7735,2,2020,160.71,12.7,38
Dusseldorf,51.2277,6.7735,3,2020,180.35,1.5,44
Dusseldorf,51.2277,6.7735,4,2020,40.69,2.4,57
Dusseldorf,51.2277,6.7735,5,2020,13.39,3.1,53
Dusseldorf,51.2277,6.7735,6,2020,175.47,10.5,89
Dusseldorf,51.2277,6.7735,7,2020,77.88,-3.0,64
Dusseldorf,51.2277,6.7735,8,2020,108.35,10.9,56
Dusseldorf,51.2277,6.7735,9,2020,193.61,15.5,49
Dusseldorf,51.2277,6.7735,10,2020,13.31,14.3,94
Dusseldorf,51.2277,6.7735,11,2020,129.66,10.3,78
Dusseldorf,51.2277,6.7735,12,2020,14.82,28.6,30
