city,lat,lon,month,year,Rainfall (mm),temp,humidity
Dusseldorf,51.2277,6.7735,1,2021,75.09,0.8,39
Dusseldorf,51.2277,6.7735,2,2021,160.76,15.2,76
Dusseldorf,51.2277,6.7735,3,2021,86.69,-2.5,88
Dusseldorf,51.2277,6.7735,4,2021,199.44,-2.2,91
Dusseldorf,51.2277,6.7735,5,2021,111.81,18.0,47
Dusseldorf,51.2277,6.7735,6,2021,64.23,17.6,75
Dusseldorf,51.2277,6.7735,7,2021,44.02,30.1,61
Dusseldorf,51.2277,6.7735,8,2021,70.1,17.3,56
Dusseldorf,51.2277,6.7735,9,2021,74.51,33.4,47
Dusseldorf,51.2277,6.7735,10,2021,13.74,-3.1,68
Dusseldorf,51.2277,6.7735,11,2021,73.91,-1.1,78
Dusseldorf,51.2277,6.7735,12,2021,92.85,-3.2,73
