city,lat,lon,month,year,Rainfall (mm),temp,humidity
Frankfurt,50.1109,8.6821,1,2022,37.71,29.9,80
Frankfurt,50.1109,8.6821,2,2022,134.49,34.8,39
Frankfurt,50.1109,8.6821,3,2022,195.4,18.3,41
Frankfurt,50.1109,8.6821,4,2022,20.38,27.5,33
Frankfurt,50.1109,8.6821,5,2022,1.66,8.1,47
Frankfurt,50.1109,8.6821,6,2022,86.72,7.2,65
Frankfurt,50.1109,8.6821,7,2022,18.53,11.1,54
Frankfurt,50.1109,8.6821,8,2022,149.68,21.9,65
Frankfurt,50.1109,8.6821,9,2022,182.91,22.3,96
Frankfurt,50.1109,8.6821,10,2022,86.8,7.6,38
Frankfurt,50.1109,8.6821,11,2022,51.74,0.3,90
Frankfurt,50.1109,8.6821,12,2022,86.88,20.3,82
