city,lat,lon,month,year,Rainfall (mm),temp,humidity
Frankfurt,50.1109,8.6821,1,2021,40.53,17.0,67
Frankfurt,50.1109,8.6821,2,2021,117.52,10.2,97
Frankfurt,50.1109,8.6821,3,2021,140.23,19.3,82
Frankfurt,50.1109,8.6821,4,2021,136.02,10.5,62
Frankfurt,50.1109,8.6821,5,2021,81.63,4.6,85
Frankfurt,50.1109,8.6821,6,2021,3.08,-1.2,80
Frankfurt,50.1109,8.6821,7,2021,116.59,7.6,72
Frankfurt,50.1109,8.6821,8,2021,50.62,-1.1,44
Frankfurt,50.1109,8.6821,9,2021,90.05,2.1,67
Frankfurt,50.1109,8.6821,10,2021,191.52,34.5,44
Frankfurt,50.1109,8.6821,11,2021,79.81,12.8,34
Frankfurt,50.1109,8.6821,12,2021,167.96,16.3,83
