city,lat,lon,month,year,Rainfall (mm),temp,humidity
Frankfurt,50.1109,8.6821,1,2020,141.33,-0.3,73
Frankfurt,50.1109,8.6821,2,2020,122.0,-5.0,41
Frankfurt,50.1109,8.6821,3,2020,62.58,23.5,38
Frankfurt,50.1109,8.6821,4,2020,54.22,9.3,41
Frankfurt,50.1109,8.6821,5,2020,119.53,5.2,98
Frankfurt,50.1109,8.6821,6,2020,173.22,-4.5,83
Frankfurt,50.1109,8.6821,7,2020,189.35,16.6,83
Frankfurt,50.1109,8.6821,8,2020,21.18,29.0,57
Frankfurt,50.1109,8.6821,9,2020,30.97,33.3,85
Frankfurt,50.1109,8.6821,10,2020,188.95,17.6,98
Frankfurt,50.1109,8.6821,11,2020,147.31,15.6,87
Frankfurt,50.1109,8.6821,12,2020,176.6,-1.6,71
