city,lat,lon,month,year,rain,temp,humidity
Munich,48.1351,11.582,1,2022,15.25,11.7,79
Munich,48.1351,11.582,2,2022,54.94,-0.3,69
Munich,48.1351,11.582,3,2022,161.39,19.5,87
Munich,48.1351,11.582,4,2022,91.93,32.5,50
Munich,48.1351,11.582,5,2022,109.32,21.5,47
Munich,48.1351,11.582,6,2022,86.56,-1.9,84
Munich,48.1351,11.582,7,2022,8.78,9.2,58
Munich,48.1351,11.582,8,2022,33.15,17.0,53
Munich,48.1351,11.582,9,2022,89.11,11.1,46
Munich,48.1351,11.582,10,2022,41.84,28.3,47
Munich,48.1351,11.582,11,2022,10.0,27.6,71
Munich,48.1351,11.582,12,2022,168.73,19.5,74
