city,lat,lon,month,year,rain,temp,humidity
Munich,48.1351,11.582,1,2020,115.66,13.7,93
Munich,48.1351,11.582,2,2020,29.39,14.3,88
Munich,48.1351,11.582,3,2020,162.22,28.6,87
Munich,48.1351,11.582,4,2020,127.19,3.8,31
Munich,48.1351,11.582,5,2020,77.63,10.2,65
Munich,48.1351,11.582,6,2020,134.83,27.3,42
Munich,48.1351,11.582,7,2020,51.98,27.9,44
Munich,48.1351,11.582,8,2020,69.04,10.4,89
Munich,48.1351,11.582,9,2020,183.5,13.4,51
Munich,48.1351,11.582,10,2020,58.1,7.1,92
Munich,48.1351,11.582,11,2020,94.0,32.3,54
Munich,48.1351,11.582,12,2020,178.03,-0.3,77
